,0,8,34,35,38,50,66,125,140,179,185,189
Country,Afghanistan,Australia,Chile,China,Congo,Dominica,Germany,Nigeria,Republic of Moldova,Tuvalu,United States of America,Venezuela (Bolivarian Republic of)
2017,62,95,93,99,70,77,97,42,93,95,92,96
2016,62,95,93,99,67,96,97,42,88,96,92,88
2015,62,95,96,99,80,96,97,42,89,94,92,92
2014,60,94,97,99,80,94,97,44,90,94,92,89
2013,57,94,90,99,80,93,97,43,91,96,92,85
2012,59,94,90,99,80,99,97,42,91,98,91,87
2011,64,94,91,99,83,99,97,49,91,98,92,86
2010,62,94,93,99,75,99,97,56,97,85,92,79
2009,60,94,93,99,63,99,97,64,90,90,90,87
2008,59,94,96,97,69,99,97,53,95,93,92,93
2007,55,94,92,94,59,96,97,41,96,95,92,87
2006,53,94,91,93,61,97,96,44,96,84,92,82
2005,50,94,90,86,54,98,96,41,97,62,92,76
2004,48,94,94,86,65,99,96,37,96,97,93,80
2003,39,94,96,85,50,99,95,34,96,95,93,83
2002,35,94,95,85,37,99,94,30,94,99,91,83
2001,37,92,96,85,35,99,94,32,94,99,91,98
2000,27,91,97,84,34,99,92,33,89,81,91,84
